,m2,m4,m6,m8,m10,m12,m14,m16,m18,m20,m22,m24,m26,m28,m30,m32,m34,m36,m38,m40,m42,m44,m46,m48,m50,m52,m54,m56,m58,m60,m62,m64,m66,m68,m70,m72,m74,m76,m78,m80,m82,m84,m86,m88,m90,m92,m94,m96,m98,m100,m102,m104,m106,m108,m110,m112,m114,m116,m118,m120,m122,m124,m126,m128,m130,m132,m134,m136,m138,m140,m142,m144,m146,m148,m150,m152,m154,m156,m158,m160,m162,m164,m166,m168,m170,m172,m174,m176,m178,m180,m182,m184,m186,m188,m190,m192,m194,m196,m198,m200
m1023,0.4505322,0.3349628,0.6297881,0.6946323,0.4958855,0.1668163,0.4610772,0.6940566,0.5023829,0.0914677,0.5015333,0.5254,0.4056534,0.2593649,,0.6836899,0.7059926,0.7127969,0.5149507,,0.1293517,0.3095085,0.1528382,0.3950877,0.7270161,0.5771486,0.385331,,0.7465685,0.4484677,0.6252621,0.0947372,0.2072292,0.9484778,0.3750803,0.5685831,0.2506046,0.338492,0.3415294,,0.3837504,,0.5808526,0.2519183,,0.250431,0.7061055,,,0.4481945,0.1418638,0.3519732,,,0.6597564,0.5690833,,0.8755764,0.1829441,,0.3589926,,0.2537822,,,0.2832795,,,,0.5194138,,0.5884819,0.3781564,0.523885,0.6460917,0.3738979,0.2874136,0.5380603,0.2899542,0.2294583,0.6326181,0.3978134,0.5338374,0.3588747,0.297711,0.3201806,0.3391219,0.7181014,,0.5241975,0.3611935,0.4095223,0.3182664,0.5430902,0.7246502,,0.4433704,0.2903446,0.4051834,0.1324679
m1024,0.5288848,0.6211168,0.3992028,0.6030048,0.5119214,0.3279479,0.3833678,0.3949977,0.5157672,0.5034862,0.6287267,0.5134433,0.2528405,0.6149736,0.2606349,0.3851693,0.5903799,0.5417517,0.4832655,,0.7985383,0.5635529,0.3052044,0.6401218,0.3058733,0.5596067,,,0.4018509,0.460496,0.3504727,0.6971576,0.2802937,0.3681796,0.5597398,0.3745471,0.2130497,0.5576017,0.6801136,,0.7338298,,0.2510263,0.2985498,,0.3602328,0.6685698,,,0.7434181,0.4524854,0.3910302,,,0.4593851,0.4579889,,0.3084825,0.6967081,,0.2393667,,0.5234401,,,0.3723051,,,,0.422807,,0.5248646,,,0.4706847,0.2931699,0.4743837,0.757985,0.4739282,0.4677094,0.3796245,0.8302783,0.6577578,0.5882753,0.4958794,0.436453,0.5023403,0.4735265,,0.4776276,0.5600265,0.8086517,0.4974914,0.5686679,0.6461155,,0.5435382,0.4991956,0.430648,
m1025,0.5320759,0.2920884,0.5371593,0.4471934,0.5021417,0.3401554,0.3209352,0.6492417,0.3828045,0.3564224,0.4842079,0.540043,0.5371003,0.3245663,0.3012557,0.5700334,0.5206976,0.527315,0.3605817,0.6985766,0.313281,0.3622709,0.3246519,0.4883607,0.6057106,0.5119503,0.4789072,0.4400532,0.554903,0.4901104,0.5820454,0.1747664,0.2360253,0.7156685,0.4708242,0.7715106,0.5779039,0.5643822,0.7011659,0.3468328,0.8397934,,0.3545429,0.4178204,,0.398286,0.5460361,0.9161465,,0.362553,0.1808565,0.503618,,,0.5879676,0.4416354,0.397049,0.6358809,0.6212394,,0.46532,,0.1837837,,,0.3471059,,,,0.6838686,,0.7097072,0.5235735,0.2053456,0.5409582,0.5367501,0.4149738,0.7220186,0.4658981,0.3377193,0.4144867,0.6382982,0.3483515,0.433935,0.5360123,0.4386684,0.3844883,0.5742965,0.2764316,0.5226776,0.3733586,0.1691197,0.3751351,0.6122062,0.2125357,,0.4087085,0.4539343,0.5802634,0.1256008
m1026,0.0723221,,,,0.0908014,,,,,,,,,,,,0.5702961,,,,,,,0.8640043,0.1853704,,,,0.8992069,,0.6433974,,,,,,,,,,,,,,,,,,,,,,,,0.1916427,,,,,,,,,,,,,,,,,,,,0.7821793,,,,,,,,,,,,,,,,,,,,,,,,,
m1027,0.5520455,0.6455475,0.5490516,0.8128038,0.5353461,0.6418545,0.4554031,0.5385344,0.5619379,0.5908082,0.5949099,0.6621084,0.7201106,0.3912515,0.7016207,0.4010483,0.3689434,0.3737921,0.620821,0.6581937,0.4917339,0.5046898,0.5046577,0.6332649,0.3539077,0.5308137,0.5734232,,0.3458547,0.6296382,0.5391128,0.4128102,0.6255268,0.8389855,0.5056539,0.250623,0.6538311,0.5942126,0.4258974,0.398466,0.1946805,0.599475,0.6666368,0.5390422,,0.633781,0.3334088,0.4407174,,0.6204866,0.51992,0.5728389,,,0.4851538,0.4237879,0.5421918,0.7862345,0.6396377,,0.5216429,0.2690208,0.7226798,,,0.630942,,,,0.528544,,0.6180846,0.604538,0.4719113,0.4604062,0.4216408,0.2605085,0.3866577,0.5625485,0.6231239,0.3407497,0.3476334,0.7887823,0.6462223,0.5944917,0.6181515,0.6378509,0.2907772,0.2907,0.5697133,0.5115807,0.5787463,0.6263203,0.5392444,0.2537427,,0.4208773,0.5393432,0.6244177,0.3055893
m1028,0.4332265,0.4670519,0.5342259,0.3216704,0.5071031,0.3410107,0.4045726,0.4773898,0.4195358,0.297973,0.5417229,0.4962403,0.6639386,0.6857026,0.412983,0.5682438,0.6328077,0.5484903,0.3402886,0.7951736,0.4031149,0.3396587,0.3288288,0.4057123,0.5975961,0.5230146,0.3488425,0.4909692,0.5622884,0.4297859,0.5502878,0.2399417,0.2549591,0.4793628,0.462147,0.6002307,0.2933939,0.408213,0.5627169,0.3157824,0.5584961,0.6182244,0.4616294,0.4119336,,0.2202137,0.5819296,0.5323487,0.4834482,0.3586999,0.2342635,0.4130026,0.9711983,0.181928,0.6064257,0.4896515,0.2151834,0.5588111,0.2681781,0.0127164,0.400145,0.3274134,0.39578,0.0616404,,0.3698846,,0.7772041,,0.438949,,0.4507027,0.3132302,0.2536778,0.6162913,0.4865053,0.4822755,0.4614074,0.3551025,0.3149992,0.5270479,0.4653936,0.2612196,0.3112281,0.363324,0.3281299,0.326065,0.5604253,0.4814304,0.5328353,0.3687954,0.389932,0.3605818,0.4164597,0.6885841,,0.4838156,0.3282795,0.440397,0.1788888
m1029,0.4622781,0.4415288,0.5501936,0.5815071,0.5076824,0.2756714,0.4809189,0.5390857,0.3644388,0.2951303,0.5493811,0.5131562,0.6803035,0.6570847,0.5017087,0.5697662,0.623064,0.6246127,0.3809086,0.6492827,0.4359426,0.3383664,0.4324746,0.519023,0.5777598,0.4854329,0.55573,0.4718265,0.665987,0.4196791,0.5225563,0.4294447,0.2538652,0.5850322,0.4362497,0.5948698,0.34651,0.3670577,0.6113852,0.3962534,0.4295326,0.3914924,0.5275453,0.4328564,,0.3039119,0.6895828,0.7989752,,0.4838385,0.4220033,0.3613989,,,0.550155,0.4601177,0.4522565,0.7154558,0.2730903,,0.3816788,0.4279907,0.4350484,0.8417507,,0.3833661,,0.3179786,,0.3736279,,0.3943083,0.5974931,0.4338326,0.6033278,0.5397752,0.4582828,0.8221261,0.3793264,0.3332051,0.5305765,0.3893498,0.4345483,0.3862321,0.45896,0.3125529,0.3667732,0.49393,0.2459052,0.3746499,0.3814744,0.4331677,0.400782,0.4323918,0.5322121,,0.4495382,0.4218749,0.4144397,0.4931539
m103,0.4467003,0.6296319,0.4160092,,0.34942,0.4346827,0.6483894,0.4308951,0.6604296,0.4839323,0.387166,0.4576778,0.7146338,0.9288244,,0.3600431,0.4354603,0.3425662,,0.2207344,0.4879045,0.2155966,0.6801082,0.4130618,0.4653691,0.7613449,,,0.1390651,0.2496764,0.3635062,,,0.9382481,0.3289684,0.054698,0.457166,0.5303069,0.5753845,,0.2336522,,0.5547614,0.4852943,,0.6660719,0.358373,,,0.4619581,0.5520106,0.247018,,,0.3445159,0.6417673,,0.8226713,0.614165,,0.5011184,,0.4299494,,,0.5956166,,,,0.4757546,,0.2804167,,0.725131,0.2903176,0.5293638,0.8156574,0.6723353,0.6645106,0.5012367,0.3544899,0.5396573,0.7982003,0.6998833,0.6999757,0.4491833,0.3699287,0.2920412,0.4705589,0.6370853,0.7206422,,0.673471,0.858139,0.9471066,,0.4164905,0.743344,0.6507317,
m1030,0.5801253,0.6018576,0.4698571,0.8083565,0.4264423,0.625481,0.6157249,0.3784615,0.7002746,0.5313991,0.4030533,0.7040541,0.6187311,0.4831756,0.7192916,0.3557666,0.3873758,0.4419577,0.7684039,0.598067,0.5872277,0.6277302,0.5729962,0.6546837,0.3142597,0.4419644,0.3906843,,0.49707,0.5127565,0.4733573,0.5479361,0.5198041,0.7526851,0.4888814,0.6469195,0.7045651,0.7140214,0.6047145,0.2441318,0.6149331,,0.4582349,0.551258,,0.6666916,0.5200831,,,0.7067772,0.6192426,0.5210199,,,0.3940716,0.4311554,0.8549586,0.7687138,0.4350167,,0.586627,0.2593479,0.5689716,,,0.5170894,,,,0.609469,,0.5573551,0.6793796,0.5834759,0.3854797,0.4954896,0.573272,0.6973047,0.557941,0.6091141,0.3445411,0.5075265,0.6263833,0.6124717,0.5317888,0.6588011,0.623652,0.2591804,0.9210871,0.4330877,0.5151693,0.5124189,0.6063973,0.5934933,0.7652424,,0.4855039,0.6562618,0.4990702,
m1031,0.6316144,0.5566711,0.484167,0.521968,0.5236121,0.5036218,0.3041114,0.3914756,0.5436074,0.5160582,0.5073111,0.4873255,0.5923402,0.4603096,0.5544386,0.4341512,0.497396,0.5802431,0.6172049,0.178703,0.4354136,0.4440941,0.4542558,0.5089458,0.4392569,0.5342781,0.7616238,0.7176255,0.4997048,0.3816475,0.3977489,0.5488339,0.4830312,0.5176111,0.5055846,0.7257404,0.4672527,0.4060932,0.5998081,0.5235714,0.6762118,0.1489296,0.4839779,0.3935141,,0.5863885,0.4193576,0.2775823,,0.2756958,0.5373138,0.3837264,,,0.4929524,0.3842528,,0.7125779,0.6477097,,0.6042296,0.7804389,0.5124323,,,0.3962216,,,,0.3787985,,0.4431436,0.3181934,0.1834106,0.4690637,0.3074048,0.5775722,0.7054515,0.5423486,0.473296,0.6041342,0.487605,0.437545,0.3933063,0.4284684,0.4269413,0.5855491,0.507604,0.5659287,0.4343025,0.6139216,0.4606746,0.4502828,0.4536446,0.6968334,,0.6239576,0.6180853,0.5144467,0.8053897
m1032,0.4784056,0.4409018,0.5757186,0.3815717,0.4791347,0.359153,0.484108,0.5924252,0.4743611,0.2195292,0.4288743,0.469563,0.6387498,0.52656,0.4268432,0.5804606,0.5466811,0.6390482,0.2012991,0.8361501,0.4275172,0.3807645,0.4103898,0.4846679,0.6441843,0.6271058,0.5493623,0.3332891,0.6083859,0.4598331,0.529803,0.3051753,0.3576894,0.7342442,0.4231681,0.7277073,0.5127656,0.408852,0.5625986,0.585564,0.7503847,0.1131894,0.5214124,0.3260772,,0.3938712,0.6515611,0.6915114,0.2406311,0.3978106,0.5036079,0.3561628,,0.7886557,0.5545864,0.4607766,,0.7053629,0.5711665,,0.3687035,0.3319022,0.3803839,,,0.3482759,,,,0.409314,,0.5300533,0.6160846,0.286925,0.5336185,0.4050985,0.3338029,0.6805258,0.3900385,0.3407382,0.558858,0.4947723,0.3522947,0.374536,0.4185604,0.2920862,0.3024851,0.4580635,0.213705,0.5413017,0.485263,0.6315899,0.390471,0.5511691,0.6270361,,0.3794605,0.3930711,0.5244661,0.1713366
m1033,0.5148747,0.4319076,0.5086347,0.7165122,0.4380917,0.4062565,0.6014448,0.5042093,0.3783997,0.2657499,0.5002425,0.6881696,0.6616288,0.377205,0.4788837,0.5049862,0.5583428,0.6231217,0.3971863,,0.4292665,0.4411747,0.2929178,0.5503423,0.4950993,0.5468614,0.4894217,0.4529184,0.4388783,0.4889698,0.5789341,0.1848399,0.328289,0.7316386,0.5088633,0.5114952,0.4790507,0.572409,0.9823104,,0.6809226,,0.6262898,0.3804536,,0.3201799,0.4193603,,,0.612263,0.2221213,0.3948932,,,0.4811984,0.3926627,,0.8831821,0.5346761,,0.3948113,0.0493603,0.3303735,,,0.3527503,,,,0.4624316,,0.5333557,0.5257384,0.5201887,0.475391,0.8205189,0.466526,0.6669837,0.4776425,0.4116879,0.3728357,0.3214184,0.4043883,0.5245471,0.5432568,0.3527015,0.4387092,0.332885,0.5886328,0.3964194,0.6256104,0.4567132,0.5166712,0.5899949,0.2363628,,0.4417655,0.5008192,0.4602671,0.6460652
m1034,0.4503219,0.4170194,0.4748314,0.1980501,0.2929518,0.3492773,0.49502,0.6188403,0.3400699,0.2968303,0.4874131,0.436804,0.3461014,0.581604,0.7922987,0.6263703,0.5814549,0.5167529,0.5316999,0.9835711,0.4600397,0.4094623,0.5533914,0.3446171,0.5910428,0.5418216,,,0.6042719,0.3794859,0.45538,0.0777783,0.2128545,0.6338755,0.4744014,0.4329572,0.511682,0.3193557,0.4516358,0.6822192,0.6580888,,0.4869087,0.1907883,,0.4913783,0.524443,,0.5371767,0.3257864,0.211892,0.3834109,,,0.4678382,0.536843,,0.7027596,0.4438179,,0.308541,0.0239072,0.4828626,,,0.3829001,,0.4301106,,0.4304579,,0.5420639,0.611368,0.5801258,0.5603187,0.6111483,0.451009,0.4438424,0.2050122,0.3434585,0.6407123,0.5029692,0.5650046,0.2599821,0.4570465,0.507424,0.3884419,0.5462426,0.4453895,0.5856986,0.4867778,0.8203822,0.3763725,0.4211696,0.4878774,,0.63662,0.5040666,0.5259217,
m1035,0.44212,0.4043223,0.5461176,0.50988,0.461445,0.331468,0.4869594,0.5398866,0.3572788,0.4124829,0.5245969,0.4303466,0.5753505,0.6013031,0.341212,0.491137,0.6290896,0.5298081,0.4405989,0.6154689,0.4087114,0.4279402,0.3982289,0.4446055,0.5749709,0.4961593,0.490786,0.3443728,0.6106704,0.5187388,0.5886602,0.2354223,0.3540823,0.7862378,0.3753498,0.4975935,0.4150958,0.3598496,0.4912865,0.3532299,0.447408,0.7743321,0.437892,0.3555008,,0.3454381,0.569766,0.3658641,0.3680119,0.323555,0.2985011,0.4296099,0.7134673,0.2374898,0.5768512,0.5520936,0.4622796,0.6213954,0.460041,,0.3623546,0.4507997,0.4215042,0.1777419,,0.4023906,,0.7930243,,0.4460863,,0.5122234,0.4782866,0.5202169,0.6136275,0.314945,0.5439809,0.4463975,0.3998935,0.3125728,0.4450219,0.4501134,0.4611973,0.4398196,0.3993599,0.4287865,0.4160968,0.5570476,0.6362021,0.4930313,0.3985485,0.3695377,0.3943089,0.4039799,0.6966133,,0.5569127,0.3943117,0.394798,0.3613001
m1036,0.4082849,0.293822,0.6473702,0.4125208,0.5621324,0.2455563,0.5452113,0.5786534,0.5086796,0.2295782,0.4950531,0.3719391,0.4332265,0.585741,0.3491817,0.6219786,0.6019146,0.5916526,0.2360538,0.2953165,0.2864433,0.3192333,0.3669711,0.3381569,0.7161058,0.5827951,0.2812924,,0.4880147,0.3519089,0.5684964,0.204356,0.1586495,0.4297663,0.4504435,0.4816309,0.3075974,0.2743581,0.5100837,0.4473627,0.3917402,0.2265559,0.5355122,0.3657669,1.0,0.2343652,0.5783467,0.3243065,0.032669,0.3227744,0.1101316,0.6009392,0.2625203,0.0768825,0.7544291,0.5078341,0.2327752,0.4441659,0.3400707,,0.3706872,0.1571988,0.2414638,0.4414434,,0.238891,,0.6080771,,0.3364468,,0.4649457,0.2084306,0.2335479,0.7078974,0.4698833,0.4957757,0.5256943,0.3614499,0.2214134,0.5060839,0.5242406,0.3760428,0.3649759,0.3351149,0.2139125,0.2620689,0.636811,0.4375095,0.5494737,0.3020363,0.3211101,0.2998591,0.3730856,0.547418,,0.5080831,0.2748897,0.4376986,0.3092976
m1037,0.6237749,0.703543,0.3973334,0.5258809,0.5356648,0.7097074,0.4963339,0.3995912,0.5942253,0.7969955,0.6345336,0.60691,0.454146,0.2162599,0.4506519,0.3144606,0.3045932,0.3278269,0.8650681,0.8651324,0.662004,0.7369951,0.7310898,0.6309309,0.2271852,0.4201887,0.7828379,,0.3212415,0.5326274,0.4216423,0.8441383,0.7034858,0.680394,0.6243862,0.3758405,0.8190065,0.7126885,0.4939619,0.3544348,0.3796052,0.677671,0.4953889,0.7493474,,0.6656502,0.3720377,,,0.6078824,0.8208203,0.5702857,0.2943904,,0.322084,0.446595,,0.4991325,0.4891453,,0.6855487,0.2525505,0.6731131,,,0.6860776,,,,0.6280392,,0.5968431,0.3522624,0.5773997,0.2841672,0.590944,0.4367752,0.3793587,0.6448108,0.7671505,0.2882033,0.4501822,0.820348,0.6543777,0.6096152,0.7570626,0.7482881,0.2975084,0.9355536,0.5439092,0.7133833,0.4373308,0.6239291,0.5023669,0.4876186,,0.2518775,0.7661106,0.56453,0.3281584
m1038,0.54259,,0.5603261,,0.7545119,,,0.3492397,0.5439455,,0.8747813,,0.5456893,0.2876765,,0.2904845,0.5424601,0.6782671,,,,,0.6000294,,0.6558008,0.6756507,,,0.8479012,,0.7195288,,,,0.6251665,1.0,,,,,0.9289782,,,,,,0.5593273,,,0.6593285,,,,,0.6682269,,,,,,,0.0214068,,,,,,,,,,0.8623218,,,0.4346072,,0.1970212,0.8971322,,0.4178473,0.2863012,0.760705,,0.2917097,,0.581923,,0.4428568,0.2063654,,,,,,0.1315038,,0.4653185,0.2302504,0.2677591,
m1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m104,0.5356848,0.3433807,0.5373791,0.4300961,0.5414003,0.5029459,0.3634543,0.5378051,0.6127224,0.4547121,0.5219806,0.5376136,0.4244403,0.4565717,0.2782757,0.5338165,0.4296274,0.4490702,0.2913782,0.6232613,0.442971,0.5653236,0.517705,0.5619725,0.5520354,0.5006183,0.3275717,,0.3756964,0.5075914,0.5221651,0.5455234,0.4127118,0.3903406,0.565843,0.4011655,0.5515802,0.5299643,0.4306031,0.9206846,0.4904266,0.4836004,0.4475321,0.6638144,,0.6399833,0.4395919,0.1459245,0.4486709,0.6496722,0.548085,,0.0008393,,0.6121061,0.5564141,0.5283275,0.2692249,0.4904255,,0.4983098,0.1601493,0.5968812,,,0.6512527,,,,0.5328097,,0.60235,0.3095203,0.5005468,0.520854,0.4879614,0.2517804,0.522879,0.5237672,0.4475319,0.3610441,0.4165815,0.3984607,0.5118344,0.563292,0.4791262,0.4315301,0.5015389,0.3507115,0.664354,0.5763711,0.3629519,0.5212363,0.5826205,0.243202,,0.4711085,0.4760436,0.5859867,0.127632
m1040,,0.5714683,0.6608426,,,,0.034077,,,0.4004191,,,,,,0.3787678,0.241178,0.2900533,,,,,,,0.4900208,0.0505998,,,,,,,,,,,0.6737385,,,,,,0.3646897,,,,0.2044906,,,,,,,,0.1365105,,,,,,,,,,,,,,,,,0.9376987,,0.6878038,,,0.4848441,,,,,,,0.6899426,0.8851499,,,,,,,,,,,,,,,
m1041,0.4995561,0.2957559,0.5719188,0.4034932,0.4379488,0.3875425,0.4180469,0.509206,0.2662585,0.2212191,0.3955666,0.4598537,0.4534026,0.6023591,0.5605249,0.5823768,0.5857916,0.7005256,,0.8041128,0.344569,0.3701443,0.3767255,0.4522128,0.5524818,0.5506765,0.4391731,,0.6254446,0.5992717,0.4058813,0.2753719,0.6216492,0.4818981,0.3531981,0.5980222,0.3808543,0.5175068,0.305824,0.6989758,0.618067,0.2685413,0.3318094,0.2457295,0.1936459,0.3165356,0.5451656,0.6242022,,0.4314748,0.1235867,0.3541837,0.9110735,,0.5032608,0.4436746,0.0426043,0.6604101,0.5144949,,0.4037468,0.4717204,0.3651753,0.797603,,0.520309,,0.559652,,0.338336,,0.4766677,0.3678522,0.5313155,0.5504937,0.4868659,0.6841406,0.3637683,0.3872395,0.3231278,0.626782,0.4912551,0.2543526,0.306071,0.2692642,0.3578975,0.2187036,0.5783531,0.3828542,0.3469349,0.2924162,0.4898776,0.2819178,0.3748068,0.6406152,,0.5312532,0.371039,0.5476588,0.3268631
m1042,0.5861684,0.4421947,0.4041361,0.5132933,0.5928775,0.3856796,0.4405042,0.4968822,0.5528126,0.5274974,0.5430154,0.5472619,0.4002096,0.5428291,0.6134472,0.4698349,0.5534746,0.434659,0.4313109,0.7358156,0.4876527,0.649476,0.5638389,0.5171927,0.417679,0.4797715,0.4652437,,0.4590079,0.5503699,0.5617192,0.5465402,0.6511353,0.6361587,0.5500188,0.3971835,0.5165711,0.4601624,0.5913923,0.5329537,0.3206876,0.5884698,0.5911909,0.5753656,,0.5359868,0.5000835,0.4945892,,0.6051268,0.5788718,0.4229952,,,0.5498636,0.520545,,0.3387397,0.4290841,,0.5055738,1.0,0.4174454,,,0.5551421,,,,0.4816061,,0.4087641,0.4969673,0.6518706,0.5582286,0.4591512,0.6101038,0.3530622,0.5408066,0.5204553,0.4026427,0.5536531,0.5024025,0.5533695,0.5367955,0.4989973,0.4418294,0.4617571,0.6759839,0.4729212,0.5479031,0.5850567,0.5654002,0.4921449,0.3650044,,0.4007133,0.4652648,0.4967638,0.3746566
m1043,0.488828,0.6963407,0.3928004,0.4326919,0.398487,0.8537247,0.4155547,0.4245188,0.555087,0.7648982,0.3421157,0.5794145,0.4239461,0.2599105,,0.3291113,0.3229982,0.2083355,0.4999611,0.1590319,0.7303824,0.6841179,0.5961021,0.6677882,0.209634,0.3714109,0.3617009,,0.2775434,0.6346114,0.5605359,0.8982752,0.9188948,0.434018,0.4697963,0.538916,0.6510052,0.4060085,0.3478745,0.7647527,0.2644429,0.5594808,0.6135221,0.8387131,,0.6701164,0.5007791,0.8807697,,0.4951776,0.6020995,0.5363132,,,0.3306635,0.5345298,0.4849594,0.3472353,0.7353918,,0.6722992,0.104665,0.7332687,,,0.7390685,,,,0.5862097,,0.6962436,0.826984,0.8089374,0.2610054,0.6078492,0.3324183,0.6234804,0.6497829,0.8667969,0.3528066,0.3207591,0.7797573,0.6799311,0.6728687,0.823734,0.6963379,0.2323343,0.096274,0.5437832,0.6788503,0.3092323,0.63293,0.6392606,0.2682501,,0.5148015,0.7513366,0.5948655,0.8695374
m1044,0.3045432,0.8783435,0.5035312,,0.2105761,0.2500398,0.7405929,0.7016587,0.6733333,0.2336909,0.3672,0.5264911,0.6666115,0.7438245,0.3337452,0.5476795,0.4167004,0.6245826,,0.5288903,0.7854347,,0.6908776,0.1142589,0.6017739,0.8704891,,,0.6703936,0.0572363,0.6378361,0.4390715,,,0.4239859,0.2631251,0.6674798,,0.6921385,,0.4675727,0.4007475,0.9380677,,,0.4345742,0.6979205,,,0.6936047,0.4339,0.2144189,,,0.4173656,0.3342844,0.9555764,0.2603759,,,,,0.8584827,,,0.770704,,,,0.5853814,,0.6190234,,0.3681418,0.5688788,0.6551892,0.3327277,,0.4725637,0.5864614,0.3070662,0.3591424,0.9499732,0.6417227,0.2619709,0.3767842,,0.2403553,,0.7468821,,0.2139818,0.7476503,0.8428604,0.2279892,,0.6631923,0.3585386,0.7410844,
m1046,0.3138085,0.218028,0.5600788,0.2383581,0.598781,0.2399099,0.2633246,0.3077966,0.346872,0.4263268,0.4578641,0.5311118,0.2747793,0.6878707,0.7770713,0.6011927,0.5403066,0.6396529,,,0.1330327,0.0933991,0.4647871,0.3000751,0.6863456,0.455472,,,0.6687761,0.2746379,0.5558168,0.4046593,0.335598,0.6262214,0.3842735,0.6064131,0.2460874,0.2078035,0.9349215,0.8073251,0.7281767,0.134225,0.5027894,0.5298151,,0.3598122,0.5312525,0.8416468,,0.8552634,0.2656242,0.2242953,,,0.5196934,0.4533934,,0.7929458,0.3436212,,0.1465205,,0.0447249,,,0.254232,,,,0.2706797,,0.6298754,,0.9532623,0.4627662,0.1730097,0.5068242,0.9033752,0.1841352,0.1184276,0.4792376,0.7257844,0.3387508,0.1670869,0.3988151,0.1847882,0.1681982,0.6276479,,0.6581679,0.9228206,0.3813003,0.2230939,0.8963555,0.508923,,0.5651662,0.2233676,0.2369715,
m1047,0.5799639,0.388515,0.4867476,0.5890258,0.4904501,0.5204572,0.5619592,0.4269414,0.5996435,0.5120121,0.6280191,0.5092893,0.4023281,0.583006,0.8866601,0.4840646,0.4732651,0.5131481,0.6785469,0.5155777,0.4968084,0.539165,0.5761648,0.5106429,0.4188819,0.4895292,0.7954572,,0.4843571,0.4951638,0.4854131,0.3440074,0.4075844,0.5621492,0.5411334,0.3978637,0.5370148,0.4201741,0.4338794,0.5473164,0.446106,,0.4635677,0.5629094,,0.4720873,0.4398849,0.6111714,0.3875633,0.4938299,0.5516912,0.523357,,0.3661124,0.4946341,0.4594173,,0.4450453,0.4596781,,0.6071095,0.207449,0.3948102,,,0.5371139,,,,0.5439528,,0.4451056,0.6211194,0.4122956,0.5427739,0.5924388,0.4073712,0.5449783,0.5162578,0.5149289,0.4733595,0.5777696,0.6546242,0.4455279,0.5324001,0.4690782,0.6140796,0.4664056,0.4613749,0.4672771,0.3908766,0.5475956,0.4476576,0.6288476,0.3727642,,0.499174,0.5566493,0.5129289,0.2629644
m1049,0.5889036,0.6077568,0.4161499,0.4920651,0.5378762,0.572608,0.4585249,0.4419414,0.4520701,0.5375352,0.5902468,0.5254589,0.5091927,0.4451425,0.6461041,0.383655,0.4012392,0.3964163,0.4766282,0.4980723,0.6791615,0.6260988,0.501976,0.6423137,0.3485981,0.314142,0.6793453,,0.452022,0.4907164,0.6011841,0.6498231,0.5148524,0.8063781,0.5524597,0.4657237,0.4904116,0.67425,0.322542,0.4543491,0.6211482,,0.6899728,0.6105771,,0.654795,0.2559081,,0.338507,0.6613899,0.6040964,0.5586044,,,0.4702833,0.4678974,,0.3353289,0.6787083,,0.5972352,0.4077306,0.4814413,,,0.6360765,,,,0.6700274,,0.5956115,0.395058,,0.5028482,0.6063838,0.3695816,0.3021491,0.5695014,0.6031185,0.2746018,0.4581697,0.598867,0.648314,0.5196763,0.5584403,0.606597,0.2325686,,0.4414116,0.6264254,0.2492943,0.5434279,0.5238843,0.3651481,,0.4299291,0.6010132,0.5264247,0.8188676
m105,0.6158199,0.5200951,0.4667361,0.4779607,0.4616428,0.6665463,0.4026831,0.4378161,0.4544499,0.7127878,0.5604092,0.4978625,0.5687795,0.4615438,0.2155686,0.3890911,0.4732451,0.4034494,0.5272063,0.5815464,0.5347105,0.5345077,0.6216544,0.610366,0.3494078,0.5102376,0.8271736,,0.4410595,0.5235954,0.4608996,0.5590162,0.7060843,0.464742,0.5040773,0.6296011,0.5455065,0.5880866,0.5398416,0.4379403,0.4539535,0.4164638,0.4315121,0.5220457,0.4040788,0.6398293,0.4749642,0.4674499,,0.5055844,0.5916819,0.4718491,,,0.382683,0.5161354,0.3472874,0.8732765,0.5245522,,0.4896787,0.3027743,0.6753564,0.5621461,,0.4337316,,0.2130796,,0.6647778,,0.5150727,0.7452897,0.4907436,0.391544,0.5495794,0.4902613,0.4915687,0.7244849,0.5917679,0.439892,0.5057283,0.7520165,0.6719574,0.6170619,0.5544487,0.5575256,0.4698624,0.1496556,0.3792106,0.5411166,0.5686386,0.5049416,0.3874086,0.5275959,,0.5918056,0.574245,0.5395285,0.8791652
